@relation chess
@attribute Bkblk {f,t}
@attribute Bknwy {f,t}
@attribute Bkon8 {f,t}
@attribute Bkona {f,t}
@attribute Bkspr {f,t}
@attribute Bkxbq {f,t}
@attribute Bkxcr {f,t}
@attribute Bkxwp {f,t}
@attribute Blxwp {f,t}
@attribute Bxqsq {f,t}
@attribute Cntxt {f,t}
@attribute Dsopp {f,t}
@attribute Dwipd {l,g}
@attribute Hdchk {f,t}
@attribute Katri5 {n,w,b}
@attribute Mulch {f,t}
@attribute Qxmsq {f,t}
@attribute R2ar8 {f,t}
@attribute Reskd {f,t}
@attribute Reskr {f,t}
@attribute Rimmx {f,t}
@attribute Rkxwp {f,t}
@attribute Rxmsq {f,t}
@attribute Simpl {f,t}
@attribute Skach {f,t}
@attribute Skewr {f,t}
@attribute Skrxp {f,t}
@attribute Spcop {f,t}
@attribute Stlmt {f,t}
@attribute Thrsk {f,t}
@attribute Wkcti {f,t}
@attribute Wkna8 {f,t}
@attribute Wknck {f,t}
@attribute Wkovl {f,t}
@attribute Wkpos {f,t}
@attribute Wtoeg {n,t}
@attribute Class {won,nowin}
%@inputs Bkblk, Bknwy, Bkon8, Bkona, Bkspr, Bkxbq, Bkxcr, Bkxwp, Blxwp, Bxqsq, Cntxt, Dsopp, Dwipd, Hdchk, Katri5, Mulch, Qxmsq, R2ar8, Reskd, Reskr, Rimmx, Rkxwp, Rxmsq, Simpl, Skach, Skewr, Skrxp, Spcop, Stlmt, Thrsk, Wkcti, Wkna8, Wknck, Wkovl, Wkpos, Wtoeg 
%@outputs Class
@data
f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,t,f,f,f,f,f,f,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,t,f,t,f,f,f,f,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,t,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,t,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,t,t,n,won
f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,t,f,f,f,t,f,t,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,t,f,f,f,f,f,t,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won
f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,t,f,f,t,t,n,won
f,f,f,f,f,f,t,f,f,f,t,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won
